Epoch 0/199
----------
model_train
176/3126,train_loss:20.697002410888672
177/3126,train_loss:20.587392807006836
178/3126,train_loss:21.097009658813477
179/3126,train_loss:21.123325347900391
180/3126,train_loss:21.798839569091797
181/3126,train_loss:21.013826370239258
182/3126,train_loss:21.079631805419922
183/3126,train_loss:20.056583404541016
184/3126,train_loss:20.337306976318359
185/3126,train_loss:20.858890533447266
186/3126,train_loss:20.949243545532227
187/3126,train_loss:20.776651382446289
188/3126,train_loss:21.526168823242188
189/3126,train_loss:20.901615142822266
190/3126,train_loss:21.050281524658203
191/3126,train_loss:21.130872726440430
192/3126,train_loss:20.726356506347656
193/3126,train_loss:20.821140289306641
194/3126,train_loss:21.572013854980469
195/3126,train_loss:20.718973159790039
196/3126,train_loss:20.690393447875977
197/3126,train_loss:20.850387573242188
198/3126,train_loss:20.211971282958984
199/3126,train_loss:21.918888092041016
200/3126,train_loss:21.040714263916016
201/3126,train_loss:21.300313949584961
202/3126,train_loss:20.876529693603516
203/3126,train_loss:21.656229019165039
204/3126,train_loss:20.490921020507812
205/3126,train_loss:21.258678436279297
206/3126,train_loss:20.999004364013672
207/3126,train_loss:20.801712036132812
208/3126,train_loss:21.533329010009766
209/3126,train_loss:21.337903976440430
210/3126,train_loss:21.054946899414062
211/3126,train_loss:21.116197586059570
212/3126,train_loss:21.022359848022461
213/3126,train_loss:20.997701644897461
214/3126,train_loss:20.251176834106445
215/3126,train_loss:21.337123870849609
216/3126,train_loss:21.430572509765625
217/3126,train_loss:20.265392303466797
218/3126,train_loss:20.559772491455078
219/3126,train_loss:20.643928527832031
220/3126,train_loss:20.907993316650391
221/3126,train_loss:20.784807205200195
222/3126,train_loss:20.546442031860352
223/3126,train_loss:20.410026550292969
224/3126,train_loss:20.158922195434570
225/3126,train_loss:21.172296524047852
226/3126,train_loss:20.689403533935547
227/3126,train_loss:20.008291244506836
228/3126,train_loss:20.367115020751953
229/3126,train_loss:20.967346191406250
230/3126,train_loss:20.078887939453125
231/3126,train_loss:22.033084869384766
232/3126,train_loss:21.663415908813477
233/3126,train_loss:21.512090682983398
234/3126,train_loss:21.336748123168945
235/3126,train_loss:20.452142715454102
236/3126,train_loss:20.896654129028320
237/3126,train_loss:21.665817260742188
238/3126,train_loss:21.639324188232422
239/3126,train_loss:20.554698944091797
240/3126,train_loss:21.183591842651367
241/3126,train_loss:20.792119979858398
242/3126,train_loss:20.794710159301758
243/3126,train_loss:20.459947586059570
244/3126,train_loss:20.171632766723633
245/3126,train_loss:20.510047912597656
246/3126,train_loss:20.427820205688477
247/3126,train_loss:20.821866989135742
248/3126,train_loss:20.524627685546875
249/3126,train_loss:20.253946304321289
250/3126,train_loss:20.442047119140625
251/3126,train_loss:20.939159393310547
252/3126,train_loss:20.739255905151367
253/3126,train_loss:20.711917877197266
254/3126,train_loss:20.514892578125000
255/3126,train_loss:20.984495162963867
